datapoint_id,cf1,cf2,cf3,cf4,cf5
8723,"Original Instance | Counterfactual
Arrival Date Month: October | Arrival Date Month: January
Stays In Weekend Nights: 2 | Stays In Weekend Nights: 3
Reservation Status: Check-Out | Reservation Status: Cancellation","Original Instance | Counterfactual
ADR: 80.81 | ADR: 39.1
Arrival Date Day Of Month: 11 | Arrival Date Day Of Month: 12
Reservation Status: Check-Out | Reservation Status: Cancellation","Original Instance | Counterfactual
Stays In Weekend Nights: 2 | Stays In Weekend Nights: 4
Adults: 2 | Adults: 4
Reservation Status: Check-Out | Reservation Status: Cancellation","Original Instance | Counterfactual
Reserved Room Type: Executive Room | Reserved Room Type: Junior Suite
Adults: 2 | Adults: 5
Reservation Status: Check-Out | Reservation Status: Cancellation","Original Instance | Counterfactual
Previous Cancellations: 0 | Previous Cancellations: 13
Adults: 2 | Adults: 5
Reservation Status: Check-Out | Reservation Status: Cancellation"
10233,"Original Instance | Counterfactual
Lead Time: 70 | Lead Time: 111
Reservation Status: Check-Out | Reservation Status: Cancellation","Original Instance | Counterfactual
ADR: 42.0 | ADR: 132.2
Market Segment: Corporate | Market Segment: Undefined
Reservation Status: Check-Out | Reservation Status: Cancellation","Original Instance | Counterfactual
Market Segment: Corporate | Market Segment: Undefined
Arrival Date Month: February | Arrival Date Month: November
Reservation Status: Check-Out | Reservation Status: Cancellation","Original Instance | Counterfactual
Previous Cancellations: 0 | Previous Cancellations: 13
Stays In Weekend Nights: 0 | Stays In Weekend Nights: 6
Reservation Status: Check-Out | Reservation Status: Cancellation","Original Instance | Counterfactual
Lead Time: 70 | Lead Time: 600
ADR: 42.0 | ADR: 204.5
Reservation Status: Check-Out | Reservation Status: Cancellation"
52028,"Original Instance | Counterfactual
Country: PRT | Country: PAK
Booking Changes: 1 | Booking Changes: 5
Reservation Status: Cancellation | Reservation Status: Check-Out","Original Instance | Counterfactual
Country: PRT | Country: GNB
Reservation Status: Cancellation | Reservation Status: Check-Out","Original Instance | Counterfactual
Arrival Date Month: May | Arrival Date Month: February
Reservation Status: Cancellation | Reservation Status: Check-Out","Original Instance | Counterfactual
Market Segment: Offline TA/TO | Market Segment: Undefined
Arrival Date Day Of Month: 29 | Arrival Date Day Of Month: 13
Reservation Status: Cancellation | Reservation Status: Check-Out","Original Instance | Counterfactual
Stays In Week Nights: 1 | Stays In Week Nights: 0
Reservation Status: Cancellation | Reservation Status: Check-Out"
16948,"Original Instance | Counterfactual
Country: IRL | Country: MLT
Adults: 2 | Adults: 5
Reservation Status: Cancellation | Reservation Status: Check-Out","Original Instance | Counterfactual
Reserved Room Type: Standard Room | Reserved Room Type: Presidential Suite
Reservation Status: Cancellation | Reservation Status: Check-Out","Original Instance | Counterfactual
Country: IRL | Country: THA
Reservation Status: Cancellation | Reservation Status: Check-Out","Original Instance | Counterfactual
Stays In Weekend Nights: 0 | Stays In Weekend Nights: 4
Reservation Status: Cancellation | Reservation Status: Check-Out","Original Instance | Counterfactual
Stays In Week Nights: 3 | Stays In Week Nights: 1
Reservation Status: Cancellation | Reservation Status: Check-Out"
16376,"Original Instance | Counterfactual
Lead Time: 100 | Lead Time: 406
Reservation Status: Check-Out | Reservation Status: Cancellation","Original Instance | Counterfactual
Lead Time: 100 | Lead Time: 461
Reservation Status: Check-Out | Reservation Status: Cancellation","Original Instance | Counterfactual
Previous Cancellations: 0 | Previous Cancellations: 4
Reservation Status: Check-Out | Reservation Status: Cancellation","Original Instance | Counterfactual
Previous Cancellations: 0 | Previous Cancellations: 11
Children: 2.0 | Children: 3.0
Reservation Status: Check-Out | Reservation Status: Cancellation","Original Instance | Counterfactual
Adults: 2 | Adults: 20
Reservation Status: Check-Out | Reservation Status: Cancellation"
13260,"Original Instance | Counterfactual
Arrival Date Week Number: 32 | Arrival Date Week Number: 17
Reservation Status: Cancellation | Reservation Status: Check-Out","Original Instance | Counterfactual
Lead Time: 178 | Lead Time: 397
Booking Changes: 0 | Booking Changes: 5
Reservation Status: Cancellation | Reservation Status: Check-Out","Original Instance | Counterfactual
Total Of Special Requests: 2 | Total Of Special Requests: 4
Reservation Status: Cancellation | Reservation Status: Check-Out","Original Instance | Counterfactual
Booking Changes: 0 | Booking Changes: 4
Adults: 2 | Adults: 5
Reservation Status: Cancellation | Reservation Status: Check-Out","Original Instance | Counterfactual
Arrival Date Week Number: 32 | Arrival Date Week Number: 21
Reservation Status: Cancellation | Reservation Status: Check-Out"
27378,"Original Instance | Counterfactual
Market Segment: Direct | Market Segment: Online TA
Booking Changes: 1 | Booking Changes: 8
Reservation Status: Cancellation | Reservation Status: Check-Out","Original Instance | Counterfactual
Arrival Date Month: August | Arrival Date Month: February
Reservation Status: Cancellation | Reservation Status: Check-Out","Original Instance | Counterfactual
ADR: 227.1 | ADR: 127.1
Reservation Status: Cancellation | Reservation Status: Check-Out","Original Instance | Counterfactual
Adults: 2 | Adults: 20
Children: 0.0 | Children: 1.0
Reservation Status: Cancellation | Reservation Status: Check-Out","Original Instance | Counterfactual
Stays In Weekend Nights: 1 | Stays In Weekend Nights: 0
Reservation Status: Cancellation | Reservation Status: Check-Out"
22730,"Original Instance | Counterfactual
Arrival Date Day Of Month: 31 | Arrival Date Day Of Month: 24
Booking Changes: 0 | Booking Changes: 2
Reservation Status: Cancellation | Reservation Status: Check-Out","Original Instance | Counterfactual
Booking Changes: 0 | Booking Changes: 5
Reservation Status: Cancellation | Reservation Status: Check-Out","Original Instance | Counterfactual
Booking Changes: 0 | Booking Changes: 20
Reservation Status: Cancellation | Reservation Status: Check-Out","Original Instance | Counterfactual
Country: NLD | Country: MLI
Reservation Status: Cancellation | Reservation Status: Check-Out","Original Instance | Counterfactual
Booking Changes: 0 | Booking Changes: 14
Reservation Status: Cancellation | Reservation Status: Check-Out"
23855,"Original Instance | Counterfactual
Previous Cancellations: 0 | Previous Cancellations: 2
Adults: 2 | Adults: 5
Reservation Status: Check-Out | Reservation Status: Cancellation","Original Instance | Counterfactual
ADR: 79.0 | ADR: 352.7
Reservation Status: Check-Out | Reservation Status: Cancellation","Original Instance | Counterfactual
ADR: 79.0 | ADR: 352.7
Arrival Date Day Of Month: 4 | Arrival Date Day Of Month: 29
Reservation Status: Check-Out | Reservation Status: Cancellation","Original Instance | Counterfactual
Arrival Date Week Number: 19 | Arrival Date Week Number: 9
Reservation Status: Check-Out | Reservation Status: Cancellation","Original Instance | Counterfactual
Deposit Type: No Deposit | Deposit Type: Non Refund
Adults: 2 | Adults: 26
Reservation Status: Check-Out | Reservation Status: Cancellation"
28133,"Original Instance | Counterfactual
Market Segment: Online TA | Market Segment: Direct
Arrival Date Month: September | Arrival Date Month: December
Reservation Status: Check-Out | Reservation Status: Cancellation","Original Instance | Counterfactual
Arrival Date Week Number: 39 | Arrival Date Week Number: 51
Reservation Status: Check-Out | Reservation Status: Cancellation","Original Instance | Counterfactual
Arrival Date Week Number: 39 | Arrival Date Week Number: 40
Reserved Room Type: Standard Room | Reserved Room Type: Family Room
Reservation Status: Check-Out | Reservation Status: Cancellation","Original Instance | Counterfactual
Country: SUR | Country: IRL
Previous Cancellations: 0 | Previous Cancellations: 4
Reservation Status: Check-Out | Reservation Status: Cancellation","Original Instance | Counterfactual
Market Segment: Online TA | Market Segment: Offline TA/TO
Stays In Week Nights: 1 | Stays In Week Nights: 10
Reservation Status: Check-Out | Reservation Status: Cancellation"
